date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:12:18	142/142	---M--	200	added ('OK')	text/plain	date:Fri,%2021%20Jul%202023%2022:38:13%20GMT	https://www.nepalholidaytour.in/robots.txt		(from )
12:12:18	26155/26155	---MC-	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2006:42:24%20GMT	https://www.nepalholidaytour.in/	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/index.html	(from )
12:12:18	5175/5175	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/img/m-logo.png	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/img/m-logo.png	(from https://www.nepalholidaytour.in/)
12:12:18	260361/260361	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/img/promo.jpg	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/img/promo.jpg	(from https://www.nepalholidaytour.in/)
12:12:19	5219/5219	---M--	200	added ('OK')	text/css	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/css/magnific-popup.css	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/css/magnific-popup.css	(from https://www.nepalholidaytour.in/)
12:12:19	2764/2764	---M--	200	added ('OK')	text/css	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/css/owl.carousel.min.css	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/css/owl.carousel.min.css	(from https://www.nepalholidaytour.in/)
12:12:19	56369/56369	---M--	200	added ('OK')	text/css	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/css/animate.css	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/css/animate.css	(from https://www.nepalholidaytour.in/)
12:12:19	121215/121215	---M--	200	added ('OK')	text/css	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/css/bootstrap.min.css	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/css/bootstrap.min.css	(from https://www.nepalholidaytour.in/)
12:12:19	74892/74892	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Jul%202023%2001:55:04%20GMT	https://www.nepalholidaytour.in/css/main.css	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/css/main.css	(from https://www.nepalholidaytour.in/)
12:12:20	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Jun%202024%2006:42:26%20GMT	https://www.nepalholidaytour.in/style.css	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/style.css	(from https://www.nepalholidaytour.in/)
12:12:20	2932/2932	---M--	200	added ('OK')	text/css	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/css/meanmenu.min.css	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/css/meanmenu.min.css	(from https://www.nepalholidaytour.in/)
12:12:20	92214/92214	---M--	200	added ('OK')	text/css	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/css/icofont.min.css	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/css/icofont.min.css	(from https://www.nepalholidaytour.in/)
12:12:20	8386/8386	---M--	200	added ('OK')	text/css	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/css/linearicons-min.css	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/css/linearicons-min.css	(from https://www.nepalholidaytour.in/)
12:12:21	13848/13848	---M--	200	added ('OK')	text/css	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/css/responsive.css	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/css/responsive.css	(from https://www.nepalholidaytour.in/)
12:12:21	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Jun%202024%2006:42:27%20GMT	https://www.nepalholidaytour.in/widget-v4.tidiochat.com/1_35_0/static/js/render.c25d885567cc682a9c5b.js	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/widget-v4.tidiochat.com/1_35_0/static/js/render.c25d885567cc682a9c5b.js	(from https://www.nepalholidaytour.in/)
12:12:21	26155/26155	---MC-	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2006:42:27%20GMT	https://www.nepalholidaytour.in/index.php	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/index-2.html	(from https://www.nepalholidaytour.in/)
12:12:21	12905/12905	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/img/mm-logo.png	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/img/mm-logo.png	(from https://www.nepalholidaytour.in/)
12:12:21	11859/11859	---MC-	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2006:42:27%20GMT	https://www.nepalholidaytour.in/about.php	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/about.html	(from https://www.nepalholidaytour.in/)
12:12:22	16247/16247	---MC-	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2006:42:28%20GMT	https://www.nepalholidaytour.in/pokhara-tour-package-from-gorakhpur.php	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/pokhara-tour-package-from-gorakhpur.html	(from https://www.nepalholidaytour.in/)
12:12:22	14078/14078	---MC-	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2006:42:28%20GMT	https://www.nepalholidaytour.in/kathmandu-tour-package-from-gorakhpur.php	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/kathmandu-tour-package-from-gorakhpur.html	(from https://www.nepalholidaytour.in/)
12:12:22	16152/16152	---MC-	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2006:42:28%20GMT	https://www.nepalholidaytour.in/muktinath-tour-package-from-gorakhpur.php	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/muktinath-tour-package-from-gorakhpur.html	(from https://www.nepalholidaytour.in/)
12:12:22	13727/13727	---MC-	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2006:42:28%20GMT	https://www.nepalholidaytour.in/contact.php	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/contact.html	(from https://www.nepalholidaytour.in/)
12:12:23	178149/178149	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/img/explore-nepal.jpg	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/img/explore-nepal.jpg	(from https://www.nepalholidaytour.in/)
12:12:23	72553/72553	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/img/pokhara-tour-with-mm-travels.jpg	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/img/pokhara-tour-with-mm-travels.jpg	(from https://www.nepalholidaytour.in/)
12:12:23	17853/17853	---MC-	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2006:42:29%20GMT	https://www.nepalholidaytour.in/03-days-pokhara-tour-package-from-gorakhpur.php	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/03-days-pokhara-tour-package-from-gorakhpur.html	(from https://www.nepalholidaytour.in/)
12:12:24	18813/18813	---MC-	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2006:42:30%20GMT	https://www.nepalholidaytour.in/03-days-kathmandu-tour-package-from-gorakhpur.php	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/03-days-kathmandu-tour-package-from-gorakhpur.html	(from https://www.nepalholidaytour.in/)
12:12:24	116565/116565	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/img/kathmandu-tour-from-gorakhpur.jpg	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/img/kathmandu-tour-from-gorakhpur.jpg	(from https://www.nepalholidaytour.in/)
12:12:24	106258/106258	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/img/chitwan-tour-with-mm-tour.jpg	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/img/chitwan-tour-with-mm-tour.jpg	(from https://www.nepalholidaytour.in/)
12:12:24	19877/19877	---MC-	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2006:42:30%20GMT	https://www.nepalholidaytour.in/chitwan-tour-package-from-gorakhpur.php	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/chitwan-tour-package-from-gorakhpur.html	(from https://www.nepalholidaytour.in/)
12:12:25	107506/107506	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/img/muktinath-tour-with-mm-tour.jpg	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/img/muktinath-tour-with-mm-tour.jpg	(from https://www.nepalholidaytour.in/)
12:12:25	22377/22377	---MC-	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2006:42:31%20GMT	https://www.nepalholidaytour.in/07-days-muktinath-tour-package-from-gorakhpur.php	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/07-days-muktinath-tour-package-from-gorakhpur.html	(from https://www.nepalholidaytour.in/)
12:12:25	65757/65757	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jul%202023%2019:00:59%20GMT	https://www.nepalholidaytour.in/img/bandipur-tour-with-mm-tour.jpg	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/img/bandipur-tour-with-mm-tour.jpg	(from https://www.nepalholidaytour.in/)
12:12:25	17531/17531	---MC-	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2006:42:31%20GMT	https://www.nepalholidaytour.in/pokhara-bandipur-tour-package-from-gorakhpur.php	C:/Users/perfect/Desktop/rp-travel/www.nepalholidaytour.in/pokhara-bandipur-tour-package-from-gorakhpur.html	(from https://www.nepalholidaytour.in/)
